txn_id,timestamp,user_id,merchant_id,amount,utr,mcc,status,original_txn_id,txn_id_normalized,original_user_id,user_id_normalized,original_merchant_id,merchant_id_normalized,txn_id_duplicate_count,txn_id_is_duplicate,amount_numeric,amount_missing,amount_parse_failed,amount_is_negative,amount_is_zero,timestamp_clean,timestamp_missing,timestamp_parse_failed,timestamp_was_epoch,utr_clean,utr_missing,utr_invalid,mcc_clean,mcc_missing,status_raw,status_clean,source_dataset,source_row_number,user_fk_missing,merchant_fk_missing,kyc_status_clean,pan_clean,aadhaar_clean,monthly_income_numeric,city_clean,state_clean,occupation_clean,kyc_duplicate_entity_flag,merchant_mcc_clean,merchant_category_clean,merchant_status_clean,business_type_clean,merchant_duplicate_entity_flag,chargeback_count,total_disputed_amount,max_severity,first_chargeback_timestamp,latest_chargeback_timestamp,transaction_has_kyc,transaction_has_merchant,transaction_has_chargeback,utr_missing_flag,amount_negative_flag,timestamp_invalid_flag,duplicate_txn_id_flag,referential_integrity_issue_flag,chargeback_report_delay_hours,dispute_after_7_days_flag,has_chargeback
TXN00011869,2026-01-15 00:11:30,USR45826,MCH7045,15722.34,UTR6498104698,5411,COMPLETED,TXN00011869,TXN00011869,USR45826,USR45826,MCH7045,MCH7045,1,False,15722.34,False,False,False,False,2026-01-15 00:11:30,False,False,False,UTR6498104698,False,False,5411,False,COMPLETED,SUCCESS,track1_upi_transactions,0,True,True,,,,,,,,,,,,,,1.0,8004.21,P1,2026-03-02 00:00:00,2026-03-02 00:00:00,False,False,True,False,False,False,False,True,1103.8083333333334,True,True
TXN00010383,2026-01-17 20:09:44,USR79397,MCH5031,Rs. 6362.9,UTR7656190355,4131,TXN_FAILED,TXN00010383,TXN00010383,USR79397,USR79397,MCH5031,MCH5031,1,False,6362.9,False,False,False,False,2026-01-17 20:09:44,False,False,False,UTR7656190355,False,False,4131,False,TXN_FAILED,FAILED,track1_upi_transactions,1,False,True,REJECTED,UJFDJ7836T,985954110965,7971.0,Asr,Punjab,Self Employed,True,,,,,,1.0,4163.19,LOW,2026-02-22 12:37:00,2026-02-22 12:37:00,True,False,True,False,False,False,False,True,856.4544444444444,True,True
TXN00008297,2026-01-23 14:10:16,USR87810,MCH9809,15446.19,UTR9037001889,05411,S,TXN00008297,TXN00008297,USR87810,USR87810,MCH9809,MCH9809,1,False,15446.19,False,False,False,False,2026-01-23 14:10:16,False,False,False,UTR9037001889,False,False,5411,False,S,SUCCESS,track1_upi_transactions,2,True,True,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,,False,False
TXN00006448,1770063471,USR54287,MCH6928,12110.49,UTR5257823698,05411,S,TXN00006448,TXN00006448,USR54287,USR54287,MCH6928,MCH6928,1,False,12110.49,False,False,False,False,2026-02-02 20:17:51,False,False,True,UTR5257823698,False,False,5411,False,S,SUCCESS,track1_upi_transactions,3,True,False,,,,,,,,,5912,CHEMIST,ACTIVE,PARTNERSHIP,True,,,,,,False,True,False,False,False,False,False,True,,False,False
TXN00018792,2026-03-31 14:02:37,USR53865,MCH8121,Rs. 19432.94,UTR4204272894,4131,TXN_SUCCESS,TXN00018792,TXN00018792,USR53865,USR53865,MCH8121,MCH8121,1,False,19432.94,False,False,False,False,2026-03-31 14:02:37,False,False,False,UTR4204272894,False,False,4131,False,TXN_SUCCESS,SUCCESS,track1_upi_transactions,4,True,True,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,,False,False
TXN00000400,2026-02-11 01:40:43,USR90546,MCH6773,Rs. 18866.03,UTR2080442730,5812,SUCCESS,TXN00000400,TXN00000400,USR90546,USR90546,MCH6773,MCH6773,1,False,18866.03,False,False,False,False,2026-02-11 01:40:43,False,False,False,UTR2080442730,False,False,5812,False,SUCCESS,SUCCESS,track1_upi_transactions,5,False,False,REJECTED,WWYGS0122H,214988463738,,Pune,Maharashtra,Unemployed,False,5999,MISCELLANEOUS,ENABLED,SOLE-PROPRIETOR,False,,,,,,True,True,False,False,False,False,False,False,,False,False
TXN00015249,03-10-2026 09:27:31 PM,USR18691,MCH7856,19982.69,UTR5471158093,,COMPLETED,TXN00015249,TXN00015249,USR18691,USR18691,MCH7856,MCH7856,1,False,19982.69,False,False,False,False,2026-03-10 21:27:31,False,False,False,UTR5471158093,False,False,,True,COMPLETED,SUCCESS,track1_upi_transactions,6,False,False,VERIFIED,IMWVS 6926 V,505636796537,92548.0,Mumbai,Maharashtra,Business Owner,False,7011,HOTELS,LIVE,PRIVATE LIMITED,False,,,,,,True,True,False,False,False,False,False,False,,False,False
TXN00007121,25/02/2026 00:53:02,USR16629,MCH7753,Rs. 22687.5,UTR3330570580,5411,COMPLETED,TXN00007121,TXN00007121,USR16629,USR16629,MCH7753,MCH7753,1,False,22687.5,False,False,False,False,2026-02-25 00:53:02,False,False,False,UTR3330570580,False,False,5411,False,COMPLETED,SUCCESS,track1_upi_transactions,7,True,True,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,True,,False,False
TXN00008460,2026-02-07 09:53:11,USR20899,MCH9111,8256.07,UTR6505850115,,S,TXN00008460,TXN00008460,USR20899,USR20899,MCH9111,MCH9111,1,False,8256.07,False,False,False,False,2026-02-07 09:53:11,False,False,False,UTR6505850115,False,False,,True,S,SUCCESS,track1_upi_transactions,8,False,False,VERIFIED,KGKIH5580,757507064570,-10440.0,Poona,Maharashtra,Retired,False,5999.0,MISC RETAIL,ENABLED,PRIVATE_LIMITED,False,,,,,,True,True,False,False,False,False,False,False,,False,False
TXN00002541,03-30-2026 09:37:49 AM,USR51755,MCH2949,"₹16,466.93",UTR 2787678319,5411,FAILED,TXN00002541,TXN00002541,USR51755,USR51755,MCH2949,MCH2949,1,False,16466.93,False,False,False,False,2026-03-30 09:37:49,False,False,False,UTR2787678319,False,False,5411,False,FAILED,FAILED,track1_upi_transactions,9,True,False,,,,,,,,,5999,MISCELLANEOUS,ACTIVE,PARTNERSHIP,False,,,,,,False,True,False,False,False,False,False,True,,False,False
